numberFlight,timeDeparture,timeArrival,cityDeparture,cityArrival,'Air Malta',price,TODAY
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-11-19
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-11-19
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-19
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-20
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-11-20
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-20
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-21
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-21
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-21
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-22
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-22
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-22
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-23
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-23
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-23
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-24
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-24
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-24
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-25
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-25
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-25
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-26
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-26
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-26
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-27
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-27
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-27
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-28
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-28
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-28
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,46.53,2019-11-29
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-29
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-29
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,46.53,2019-11-30
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,63.53,2019-11-30
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-30
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,46.53,2019-12-01
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-01
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,44.53,2019-12-01
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,46.53,2019-12-02
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-02
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,44.53,2019-12-02
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,46.53,2019-12-03
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,72.53,2019-12-03
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,45.53,2019-12-03
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-04
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,68.53,2019-12-04
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,46.53,2019-12-04
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,67.53,2019-12-05
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,79.53,2019-12-05
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,48.53,2019-12-05
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,69.53,2019-12-06
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,82.53,2019-12-06
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,50.53,2019-12-06
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,68.53,2019-12-07
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,78.53,2019-12-07
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,55.53,2019-12-07
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,70.53,2019-12-08
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,75.53,2019-12-08
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,48.53,2019-12-08
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,74.53,2019-12-09
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-09
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-09
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-10
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-10
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-10
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-11
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-11
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-11
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-12
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-12
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-12
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-13
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-13
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-13
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-14
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-14
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-14
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-15
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-15
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-15
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-16
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-16
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-16
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-17
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-17
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-17
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-18
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-18
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-18
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-19
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-19
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-19
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-20
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-20
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-20
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-21
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-21
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-21
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-22
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-22
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-22
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-23
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-23
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-23
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-24
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-24
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-24
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-25
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-25
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-25
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-26
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-26
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-26
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-27
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-27
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-27
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-28
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-28
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-28
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-29
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-29
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-29
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-30
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-30
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-30
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-12-31
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-12-31
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-12-31
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2020-01-01
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2020-01-01
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2020-01-01
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2020-01-02
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2020-01-02
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2020-01-02
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2020-01-03
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2020-01-03
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2020-01-03
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2020-01-04
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2020-01-04
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2020-01-04
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,101.53,2020-01-05
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,66.53,2020-01-05
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,38.53,2020-01-05
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,110.53,2020-01-06
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,76.53,2020-01-06
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,36.53,2020-01-06
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,110.53,2020-01-07
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,80.53,2020-01-07
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,45.53,2020-01-07
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,110.53,2020-01-08
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,83.53,2020-01-08
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,45.53,2020-01-08
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,110.53,2020-01-09
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,83.53,2020-01-09
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,44.53,2020-01-09
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,114.53,2020-01-10
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,102.53,2020-01-10
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,47.53,2020-01-10
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,154.53,2020-01-11
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,102.53,2020-01-11
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,70.53,2020-01-11
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,154.53,2020-01-12
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,94.53,2020-01-12
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,64.53,2020-01-12
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,154.53,2020-01-13
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,94.53,2020-01-13
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,49.53,2020-01-13
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,174.53,2020-01-14
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,94.53,2020-01-14
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,49.53,2020-01-14
